location	acan	chae	labr	leth	lutj	poma	scar	serr	siga	zanc	imo
14114	98	111	63	23	79	971	111	17	41	1	M
14123	160	133	50	24	78	1291	137	26	52	1	I
14126	129	125	62	2	74	1659	175	16	188	3	I
14137	1227	198	71	17	108	818	293	6	7	37	O
14138	816	149	76	27	10	1304	344	4	5	32	O
16015	34	98	75	11	30	1104	140	4	25	9	M
16019	473	141	62	14	7	766	349	6	15	14	O
16028	41	104	67	1	76	881	101	9	37	0	I
16049	195	128	94	21	146	825	182	17	84	3	I
16057	638	103	53	16	23	1223	203	7	23	10	M
16060	440	96	41	4	12	1992	161	8	20	14	M
18034	391	110	40	5	0	1137	177	1	3	11	O
18039	531	58	39	12	6	1318	167	12	19	8	O
18051	1	102	19	0	26	1407	38	14	24	0	I
18075	202	58	68	4	4	1470	289	4	62	1	M
18096	109	90	69	3	11	2156	222	8	53	0	M
19135	79	104	74	10	69	3452	262	82	60	0	M
19138	37	61	107	6	19	5337	258	45	89	1	M
19159	198	174	55	16	15	2326	155	43	38	11	O
19207	265	130	39	1	7	1437	113	15	16	12	O
20014	7	71	70	0	9	3422	249	8	54	0	I
20019	25	81	49	15	11	2540	198	9	48	0	I
20104	32	70	80	11	48	2691	263	32	52	1	M
21529	2	100	95	20	15	2990	246	64	33	3	M
21556	54	109	99	6	16	6108	307	93	92	9	M
22088	125	155	88	3	7	2366	266	27	24	2	M
22102	331	77	114	3	10	3908	217	11	28	3	M
22104	206	179	101	1	15	2853	313	5	25	9	M
22109	294	95	104	1	2	3134	187	7	26	3	M
23048	117	60	36	5	1	1695	77	3	0	1	O
23051	36	13	4	7	7	1199	7	6	0	0	O
23055	29	7	0	27	1	1139	3	10	0	0	O
23082	221	27	20	5	0	535	121	7	1	1	O
