Location	Taxa.1	Taxa.2	Taxa.3	Taxa.4
1	68	10	0	0
2	67	12	0	0
3	36	10	0	0
4	65	22	1	0
5	69	10	0	0
6	89	18	1	0
7	71	15	1	0
8	106	26	1	0
9	169	17	1	0
10	93	22	2	0
11	78	15	2	0
12	90	27	2	0
13	98	37	4	0
14	82	39	3	0
15	102	40	2	0
16	80	35	3	0
17	75	25	4	0
18	84	49	6	0
19	125	36	8	0
20	120	49	5	0
21	120	73	8	0
22	103	52	8	0
23	131	36	13	0
24	89	72	10	0
25	87	56	11	0
26	82	46	27	0
27	110	53	12	0
28	123	100	19	1
29	129	78	25	1
30	86	97	29	2
31	77	61	29	2
32	46	147	23	3
33	89	58	32	2
34	95	92	21	3
35	78	101	34	6
36	69	115	41	5
37	74	100	49	4
38	52	109	43	4
39	97	124	37	3
40	57	110	56	6
41	47	71	35	8
42	38	108	58	8
43	31	141	72	11
44	33	96	66	13
45	23	93	96	23
46	35	134	80	25
47	39	101	77	18
48	47	69	64	14
49	18	83	71	20
50	32	95	86	21
51	15	79	122	24
52	15	72	124	40
53	16	102	58	25
54	22	75	87	38
55	13	50	88	46
56	11	68	85	38
57	8	73	111	53
58	5	71	109	55
59	6	45	119	67
60	10	55	110	103
61	10	35	135	58
62	6	58	97	49
63	3	38	91	45
64	3	30	136	70
65	4	37	60	62
66	2	24	69	64
67	2	46	78	102
68	2	26	128	65
69	1	37	86	103
70	2	25	88	65
71	1	16	77	173
72	1	18	70	78
73	1	14	63	114
74	1	9	71	96
75	0	16	65	64
76	0	14	73	117
77	0	15	61	66
78	0	4	49	63
79	0	6	75	104
80	0	6	47	74
81	0	5	51	100
82	0	5	33	109
83	0	4	63	113
84	0	3	35	125
85	0	4	38	133
86	0	3	25	57
87	0	2	25	57
88	0	1	32	83
89	0	1	25	118
90	0	1	27	75
91	0	1	19	95
92	0	1	22	74
93	0	0	15	78
94	0	0	15	60
95	0	0	13	75
96	0	0	11	48
97	0	0	10	79
98	0	0	6	58
99	0	0	8	64
100	0	0	6	71
