Location	T.1	T.2	T.3	T.4	T.5	T.6	T.7	T.8	T.9	T.10
0.368055282	0	1	0	0	0	0	0	0	0	0
2.411717968	0	1	0	0	0	0	0	0	0	0
3.209943837	0	2	0	0	0	0	0	0	0	1
3.300074069	0	2	0	0	0	0	0	0	0	3
4.197523743	0	2	0	0	0	0	0	0	0	1
5.526139401	0	1	0	0	0	0	0	0	0	2
9.068676829	1	2	1	0	0	0	0	0	0	2
9.176389687	2	4	0	0	0	0	0	0	0	1
9.961861791	3	9	0	0	0	0	0	0	0	2
10.39384571	2	5	0	0	0	0	0	0	0	1
11.62088569	2	13	0	0	0	0	0	0	0	2
13.05752895	6	7	0	0	0	0	0	0	0	7
13.10905581	2	9	0	0	0	0	0	0	0	7
15.09207417	6	13	1	0	0	0	0	0	0	8
15.29643801	6	16	0	0	0	0	0	0	0	9
15.80993063	6	11	0	0	0	0	0	0	0	6
15.97998696	10	7	0	0	0	0	0	0	0	10
16.23740001	10	10	1	0	0	0	0	0	0	10
16.65388271	6	6	1	0	0	0	0	0	0	3
17.55061164	4	11	0	0	0	0	0	0	0	4
20.09855565	7	12	1	0	0	0	0	0	0	8
21.41002626	13	3	1	0	0	0	0	0	0	8
21.8017126	8	9	3	0	0	0	0	0	0	6
22.54453371	11	8	1	0	0	0	0	0	0	13
23.31127198	9	5	3	0	0	0	0	0	0	8
23.74005662	9	6	3	0	0	0	0	0	0	13
24.93803119	12	3	5	0	0	0	0	0	0	12
25.26741144	8	7	4	0	0	0	0	0	2	5
25.32538422	3	4	3	0	0	0	0	0	1	5
26.10158082	11	2	10	0	0	0	0	0	1	11
28.24412072	5	0	5	0	0	0	1	0	1	3
29.64378637	5	0	8	0	0	0	3	0	0	5
30.1902778	4	3	10	0	0	0	3	0	3	7
30.35107735	4	1	9	0	2	0	1	0	3	2
30.47375339	5	1	15	0	0	0	1	0	1	4
30.84514616	4	0	7	0	1	0	1	0	5	7
31.38184506	4	1	10	0	0	0	1	0	4	2
33.66132304	3	0	9	0	0	0	3	0	4	1
34.7984958	1	1	11	0	0	0	5	0	2	1
35.98837005	1	0	6	0	1	0	6	0	8	1
36.43369912	1	0	10	0	0	0	5	0	10	1
36.92420237	1	0	8	0	0	0	4	0	7	1
37.98917551	1	0	6	0	1	0	6	0	5	2
38.98649593	0	0	9	0	4	0	4	0	5	0
41.10912494	0	0	11	0	3	0	10	0	10	1
41.37853896	1	0	7	0	4	0	6	0	6	1
43.02465646	0	0	7	0	6	0	8	0	7	0
44.36128438	0	0	5	0	9	0	14	0	11	1
44.57746102	0	0	3	0	9	0	9	0	6	0
46.73868227	0	0	3	0	8	0	8	0	10	0
49.33072058	0	0	0	0	6	0	8	0	12	0
50.13525826	0	0	0	0	5	0	6	0	3	0
51.70965423	0	0	0	0	10	0	6	1	2	0
56.8334247	0	0	0	0	4	0	2	0	0	0
57.59209618	0	0	0	0	6	0	1	0	0	0
58.00523581	0	0	0	0	10	0	1	0	0	0
59.6218606	0	0	0	0	3	0	0	0	2	0
59.64465742	0	0	0	0	6	0	0	0	0	0
59.7219428	0	0	0	0	7	0	0	0	0	0
60.14862247	0	0	0	0	4	0	0	1	1	0
60.95238072	0	0	0	0	4	0	1	0	0	0
61.08633876	0	0	0	0	4	0	1	1	0	0
63.09560761	0	0	0	0	2	0	0	0	0	0
64.36621523	0	0	0	0	2	0	0	0	0	0
64.70704474	0	0	0	0	2	0	0	0	0	0
65.99600543	0	0	0	0	2	0	1	0	0	0
66.90930258	0	0	0	0	1	0	1	1	0	0
66.9398162	0	0	0	0	0	0	0	1	0	0
68.70617229	0	0	0	0	2	0	0	4	0	0
71.57899113	0	0	0	0	1	0	0	4	0	0
72.25898174	0	0	0	0	0	0	0	10	0	0
73.029452	0	0	0	0	0	0	0	3	0	0
73.83745206	0	0	0	0	0	0	0	11	0	0
74.14518869	0	0	0	0	0	0	0	6	0	0
75.87692682	0	0	0	1	0	0	0	10	0	0
79.85933828	0	0	0	0	0	0	0	10	0	0
79.96291765	0	0	0	2	0	1	0	5	0	0
83.6589118	0	0	0	3	0	3	0	4	0	0
83.66327081	0	0	0	1	0	5	0	6	0	0
83.80713426	0	0	0	1	0	4	0	12	0	0
84.90065457	0	0	0	3	0	6	0	8	0	0
85.41930416	0	0	0	3	0	0	0	6	0	0
85.76227175	0	0	0	6	0	1	0	7	0	0
86.17056417	0	0	0	2	0	5	0	6	0	0
86.23404112	0	0	0	0	0	4	0	7	0	0
88.39055081	0	0	0	4	0	9	0	3	0	0
88.6751161	0	0	0	5	0	4	0	4	0	0
88.72496886	0	0	0	2	0	8	0	4	0	0
88.78255701	0	0	0	1	0	4	0	4	0	0
89.99721212	0	0	0	8	0	7	0	5	0	0
90.26271058	0	0	0	6	0	9	0	4	0	0
93.01216886	0	0	0	11	0	20	0	0	0	0
93.25551391	0	0	0	3	0	9	0	1	0	0
94.30656233	0	0	0	10	0	8	0	1	0	0
95.49263651	0	0	0	7	0	6	0	0	0	0
97.14233181	0	0	0	12	0	6	0	1	0	0
97.32725034	0	0	0	8	0	11	0	1	0	0
97.53278769	0	0	0	5	0	8	0	0	0	0
99.33243315	0	0	0	7	0	4	0	1	0	0
